study_id,citation,source_type,population,n,intervention,comparator,outcome,unit,timepoint_months,effect_type,effect_value,ci_low,ci_high,p_value,direction,confidence,disease_match,quantitative,model_target,notes
szuhany2015,"Szuhany, Bugatti & Otto 2015, J Psychiatric Research 60:56-64",meta-analysis,healthy/mixed adults,1111,aerobic-exercise,no exercise,BDNF,resting serum,,hedges-g,0.28,,,0.005,increase,high,mixed,true,coef.bdnf.ex,"29 studies; no AD-specific trials"
ziaei2024,"Ziaei et al. 2024, Nutritional Neuroscience 27(7):715-725",meta-analysis,mixed clinical (CVD/T2DM/depression),587,omega-3,placebo,BDNF,serum,,SMD,0.72,,,,increase,medium,mixed,true,coef.bdnf.o3,"12 RCTs; I2=84% heterogeneity; no AD trials"
med-bdnf2020,"Frontiers in Psychology 2020 (PMC7522212)",meta-analysis,psychiatric + one MCI subgroup,479,meditation,control,BDNF,serum,,SMD,0.72,,,,increase,low,mixed,true,coef.bdnf.med,"8 RCTs; I2=78%; small n"
tomoto2023,"Tomoto et al. 2023, J Cereb Blood Flow Metab 43(3):404-418",RCT,cognitively normal older adults,73,aerobic-exercise,stretching,cerebral blood flow,% change normalized,12,percent-change,6,,,0.002,increase,high,healthy,true,coef.cbf.ex,"1-year aerobic training; wide individual variance"
jackson2017,"Jackson et al. 2017, J Prevention of Alzheimer's Disease",RCT,MCI,13,omega-3,placebo,cerebral perfusion,% change,6,percent-change,26.1,,,,increase,low,MCI,true,coef.cbf.o3,"pilot n=13; discounted to 10 in model pending replication"
ex-crp-meta,"Long-term exercise training meta-analysis (38 studies)",meta-analysis,healthy subjects,2557,aerobic-exercise,control,CRP,mg/L standardized,,SMD,-0.18,-0.31,-0.06,0.005,decrease,medium,healthy,true,coef.inflam.ex,"small but significant"
li2014,"Li, Huang, Zheng & Wu 2014, PLOS ONE 9(2):e88103",meta-analysis,healthy subgroup of 68 RCTs,4601,omega-3,placebo,CRP,% change,,percent-change,-16.5,,,0.001,decrease,medium,healthy,true,coef.inflam.o3,"healthy subgroup 17 studies; high heterogeneity overall"
grasmann2023,"Grasmann, Almenräder, Voracek & Tran 2023, Int J Mol Sci (PMID 36901875)",meta-analysis,healthy/stressed/at-risk/psychiatric adults,2880,meditation,control,inflammation & stress biomarkers,composite,,hedges-g,-0.11,-0.23,0.001,0.053,null-effect,high,mixed,true,coef.inflam.med,"RCT-only pooled g=-0.11 marginal (p=.053); pre-post g=-0.15 p<.001; verified from abstract, corrects earlier transcription"
woods2012,"Woods et al. 2012, Cochrane Database Syst Rev (CST)",meta-analysis,dementia,2766,cognitive-stimulation,usual care,cognition-composite,SMD,,SMD,0.41,0.25,0.57,,increase,high,AD,true,coef.cog.cst,"37 RCTs; silent on BDNF (evidence gap, not null)"
ngandu2015,"Ngandu et al. 2015 (FINGER), Lancet 385:2255-2263",RCT,at-risk older adults (not AD),1260,multi-domain,general advice,cognition-composite,% relative improvement,24,percent-change,25,,,,increase,high,mixed,true,bench.multi.cog,"no factorial arms; synergy unmeasurable; adherence multicollinear (2022 follow-up)"
kobe2016,"Köbe et al. 2016, NeuroImage",RCT,MCI age 60-80,22,multi-domain,omega-3 + stretching,gray matter volume,preserved vs decline,6,qualitative,,,,,increase,medium,MCI,true,bench.multi.hippo,"omega-3+aerobic+CST preserved/grew frontal-parietal-cingulate GM"
erickson2011,"Erickson et al. 2011, PNAS 108(7):3017-3022",RCT,healthy older adults,120,aerobic-exercise,stretching,hippocampal volume,% per year,12,percent-change,2,,,,increase,high,healthy,true,context.exercise-hippo-healthy,"anterior hippocampus +2%/yr vs -1.4%/yr control; HEALTHY adults; superseded as the exercise benchmark by EXERT 2025 (MCI) on 2026-09-11"
barnes2009,"Barnes & Fox 2009 meta-analysis (serial MRI)",meta-analysis,AD patients,,none,healthy controls,hippocampal atrophy rate,% per year,12,percent-change,-4.66,,,,decrease,high,AD,true,bench.untreated.hippo,"controls -1.41%/yr"
han2000,"Han et al. 2000, Int Psychogeriatr 12(2):231-247 (PMID 10937543)",meta-analysis,AD patients (mixed severity),3492,none,,MMSE,points per year,12,mean-diff,-3.3,-3.7,-2.9,,decrease,high,AD,true,bench.untreated.mmse,"37 studies pooled annual MMSE decline; mild AD toward slower end (~2/yr); supersedes earlier ADNI approximation"
jeon2020,"Jeon et al. 2020, Frontiers in Aging Neuroscience (KBASE)",cohort,non-demented older adults,287,aerobic-exercise,low activity,APOE4-amyloid interaction,moderation,,qualitative,,,,,decrease,medium,mixed,true,coef.apoe.interaction,"midlife activity blunted APOE4-associated amyloid/metabolism decline"
hilton2016,"Hilton et al. 2016, Annals of Behavioral Medicine",meta-analysis,chronic pain patients,3536,meditation,control,pain,SMD,,qualitative,,,,,decrease,medium,mixed,true,context.pain,"38 RCTs; small significant pain reduction; low-moderate evidence grade"
hill2011,"Hill, Kolanowski & Gill 2011, Topics in Geriatric Rehabilitation 27(4)",review,older adults and early-stage AD,,cognitive-stimulation,,cognition-composite,,,qualitative,,,,,increase,low,AD,false,context.cst-plasticity,"plasticity persists in early AD; cognitive training exploits compensatory recruitment; no numbers"
jahan2026,"Jahan et al. 2026, Neural Regeneration Research 21(1):107-125",review,AD and PD mechanistic literature,,multi-domain,,BDNF,,,qualitative,,,,,increase,low,mixed,false,context.mechanism,"BDNF key regulator of synaptic strength/neurogenesis in AD & PD; reviews exercise/diet/dopamine agonists; no effect sizes"
gashtrodkhani2026,"Gashtrodkhani et al. 2026, J Integrative Neuroscience 25(1)",review,AD,,multi-domain,,cognition-composite,,,qualitative,,,,,increase,low,AD,false,context.mechanism,"synaptic dysfunction drives AD; exercise/light therapy/diet proposed plasticity enhancers; abstract only"
hao2025-bdnf,"Hao 2025, Frontiers in Aging Neuroscience 17:1503296",review,Parkinson's disease (PD-related fatigue),,aerobic-exercise,usual care,BDNF,serum,,qualitative,,,,,increase,medium,PD,false,context.pd-exercise,"aerobic exercise (chronic & single sessions) raises serum BDNF in PD; mechanism for fatigue improvement"
hao2025-cycling,"Hao 2025, Frontiers in Aging Neuroscience (citing Lin 2022)",review,Parkinson's disease,,aerobic-exercise,control,central fatigue,,,qualitative,,,,,decrease,medium,PD,false,context.pd-exercise,"cycling training improved central fatigue via BDNF & dopaminergic neurotransmission"
hao2025-deficit,"Hao 2025, Frontiers in Aging Neuroscience (citing meta-analysis)",review,PD vs healthy controls,,none,healthy controls,BDNF,serum,,qualitative,,,,,decrease,medium,PD,false,context.pd-bdnf-deficit,"serum BDNF significantly lower in PD than controls; ~50% of PD patients report fatigue"
meyeracosta2025-dev,"Meyer-Acosta et al. 2025, Stem Cell Reports (PMC12277819)",other,iPSC organoids APOE4/4 vs isogenic APOE3/3,60,other,APOE3/3 organoids,organoid size & cortical neurons,,6,qualitative,,,,0.001,decrease,medium,AD,false,context.apoe4-mechanism,"APOE4 reduced organoid size (p<0.001) and SATB2+ upper-layer neurons; increased cleaved caspase-3"
meyeracosta2025-glia,"Meyer-Acosta et al. 2025, Stem Cell Reports (PMC12277819)",other,APOE4/4 vs APOE3/3 organoids,18,other,APOE3/3 organoids,astrogliosis & ApoE secretion,,6,qualitative,,,,0.01,increase,medium,AD,false,context.apoe4-mechanism,"APOE4 increased GFAP/ALDH1L1/HOPX and ApoE secretion: enhanced gliogenesis"
meyeracosta2025-net,"Meyer-Acosta et al. 2025, Stem Cell Reports (PMC12277819)",other,APOE4/4 vs APOE3/3 assembloids (MEA),4,other,APOE3/3 assembloids,network hyperexcitability & GABA genes,,7,qualitative,,,,0.01,increase,medium,AD,false,context.apoe4-mechanism,"APOE4: hyperactive synchronized networks; GABBR1/NKCC1/KCC2 reduced; Abeta42/40 up in female lines"
stanford2025-1copy,"Goldman 2025, Stanford Medicine Insights (Greicius & Yu research)",news,APOE4 heterozygotes (~20-25% of population),,none,APOE3/3,APOE4-risk,fold AD risk,,raw-means,2.5,2,3,,increase,medium,AD,true,coef.apoe.risk,"one copy: 2-3x AD risk (range not CI); onset 5-10 yrs earlier; matches model's 1-copy text"
stanford2025-2copy,"Goldman 2025, Stanford Medicine Insights",news,APOE4 homozygotes,,none,APOE3/3,APOE4-risk,fold AD risk,,raw-means,10,,,,increase,medium,AD,true,coef.apoe.risk,"two copies ~10x risk; model text says 8-12x, consistent"
stanford2025-women,"Goldman 2025, Stanford Medicine Insights",news,European-ancestry women 50-80 one APOE4 copy,,none,non-carrier women,APOE4-risk,fold AD risk,,raw-means,3.5,3,4,,increase,medium,AD,true,context.apoe4-sex,"women 3-4x vs men marginal; gain-of-toxic-function claim: ApoE4 toxic not merely ineffective"
ashford2026,"Ashford, Smith & Oria 2026, Apolipoprotein E (Springer) pp 395-418",review,ApoE-e4 carriers at AD risk,,multi-domain,,APOE4-risk prevention,,,qualitative,,,,,decrease,low,AD,false,context.apoe4-prevention,"paywalled; abstract: pathology decades pre-symptom; many risk factors modifiable via lifestyle"
popescu2024-bdnf,"Popescu 2024, J Neural Transm 131:1329-1339",review,Parkinson's disease,,aerobic-exercise,no exercise,BDNF & dopamine D2 binding,serum / PET,,qualitative,,,,,increase,medium,PD,false,context.pd-exercise,"serum BDNF rises after exercise therapy in PD; intensive exercise elevated D2 receptor binding (Fisher et al.)"
popescu2024-threshold,"Popescu 2024, J Neural Transm 131:1329-1339",review,PD natural history,,none,,nigral neuron loss at motor onset,% neurons lost,,raw-means,40,30,50,,decrease,medium,PD,true,context.pd-threshold,"motor symptoms at 30-50% nigral neuron loss (50-60% of nigrostriatal afferents); range not CI; supersedes older 60-80% dogma"
popescu2024-ltp,"Popescu 2024, J Neural Transm 131:1329-1339",review,PD animal models,,aerobic-exercise,sedentary,corticostriatal LTP,,,qualitative,,,,,increase,low,PD,false,context.pd-exercise,"intensive exercise gave lasting rescue of corticostriatal LTP; review calls exercise possibly first neuroprotective PD treatment"
stanford-pd-blog2026,"Wong 2026, Stanford Parkinson's Community Blog (webinar summary)",blog,people with PD,,multi-domain,,motor & non-motor symptoms,,1.25,qualitative,,,,,increase,low,PD,false,context.pd-community,">=150 min/wk challenging exercise + cognitive dual-tasking claimed to reduce symptoms in 4-6 wks; anecdotal, no peer-reviewed numbers"
petzinger2013-dopa,"Petzinger et al. 2013, Lancet Neurology 12(7):716-726",review,early PD (Fisher treadmill PET study),,aerobic-exercise,no-exercise control,dopamine D2/D3 receptor binding,PET binding potential dorsal striatum,2,qualitative,,,,,increase,medium,PD,false,context.pd-exercise,"8 wks treadmill at >=75% max HR increased DA-D2R binding potential; magnitude not restated in review"
petzinger2013-motor,"Petzinger et al. 2013, Lancet Neurology 12(7):716-726",review,mild-moderate PD,,aerobic-exercise,usual care,UPDRS motor items,tapping amplitude/speed,3,qualitative,,,,,increase,medium,PD,false,context.pd-exercise,"treadmill benefits transfer to UPDRS motor items after 4-12 wks, retained months; tai chi reduced falls; tango improved balance/gait"
petzinger2013-cog,"Petzinger et al. 2013, Lancet Neurology 12(7):716-726",review,PD patients,,aerobic-exercise,non-exercise control,cognition-composite,executive function/working memory,6,qualitative,,,,,increase,medium,PD,false,context.pd-exercise,"6-mo aerobic improved executive function (Tanaka); working memory & verbal fluency (Cruise); mechanism: BDNF/GDNF, AMPA & D2R restoration"
